"filename", "language", "Python", "JavaScript", "XML", "CSS", "pip requirements", "Markdown", "HTML", "JSON", "Properties", "Batch", "PowerShell", "Ini", "reStructuredText", "C", "C++", "Visual Basic", "XSL", "TSV", "comment", "blank", "total"
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\account\models_20241016173906.py", "Python", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24, 119
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\account\models_20241016173925.py", "Python", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24, 118
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\account\models_20241016173950.py", "Python", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24, 117
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\account\models_20241016174008.py", "Python", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24, 114
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\account\models_20241016174112.py", "Python", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27, 130
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\account\models_20241016174157.py", "Python", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27, 131
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\account\models_20241016174158.py", "Python", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27, 131
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\account\models_20241016174215.py", "Python", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 27, 131
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\account\serializers_20240514203114.py", "Python", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 46
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\account\serializers_20240901232712.py", "Python", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15, 68
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\account\serializers_20240901232856.py", "Python", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 15, 68
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\account\serializers_20240901232901.py", "Python", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 15, 68
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\account\signals_20240518110905.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\account\signals_20240903193339.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\account\signals_20240903193340.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\account\signals_20240903193341.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\account\signals_20240903193351.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\account\signals_20240903193451.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\account\views_20240808121928.py", "Python", 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29, 139
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\account\views_20240808121929.py", "Python", 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29, 139
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\account\views_20240808123705.py", "Python", 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 32, 149
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\account\views_20240808135244.py", "Python", 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 32, 149
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\account\views_20240808135245.py", "Python", 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 32, 149
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\account\views_20240808135837.py", "Python", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 32, 150
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\account\views_20240808140017.py", "Python", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 36, 154
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\account\views_20240901232917.py", "Python", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 38, 166
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\account\views_20240901232918.py", "Python", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 38, 166
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\account\views_20240901232928.py", "Python", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 38, 164
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\account\views_20240901233018.py", "Python", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 38, 166
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\account\views_20240905174141.py", "Python", 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 38, 166
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\account\views_20240905174142.py", "Python", 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 38, 166
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\account\views_20240905174202.py", "Python", 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 38, 166
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\accounting\models_20240929155049.py", "Python", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 44
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\accounting\models_20240929155050.py", "Python", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 44
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\accounting\models_20240929155119.py", "Python", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 44
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\accounting\serializers_20240925214844.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 21
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\accounting\serializers_20240925214845.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 21
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\accounting\serializers_20240929153648.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 25
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\accounting\serializers_20240929153649.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 25
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\accounting\serializers_20240929154249.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 26
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\accounting\serializers_20240929154250.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 26
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\accounting\serializers_20240929154455.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 26
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\accounting\serializers_20240929154605.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 32
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\accounting\serializers_20240929154606.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 32
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\accounting\serializers_20240929162445.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 33
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\accounting\serializers_20240929162446.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 33
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\accounting\serializers_20240929162512.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 34
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\accounting\serializers_20240929162513.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 34
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\accounting\serializers_20240929162538.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 34
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\accounting\serializers_20240929163155.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 34
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\accounting\serializers_20240929163156.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 34
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\accounting\serializers_20240929163157.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 34
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\accounting\serializers_20240929163159.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 34
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\accounting\serializers_20240929163200.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 34
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\accounting\serializers_20240929163204.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 34
"c:\Users\MHMD\Desktop\CompanyPlanner\.history\accounting\urls_20240926141444.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
